fold,username,clean_text,label_manual,label_prediksi_kfold,buzzer_prob_kfold,label_manual_text,label_prediksi_text,kesimpulan
1,daniddarmawan15,igrs isinya boomer boomer kolot yang semoga mati nanti masuk neraka kamu kontolllll game harvest simulator aja kena tolol banget siapa yang sange sama traktor jingggg ini bukan bidang kamu igrs kontol jadi jangan ikut campur ngerusak community ini,0,0,0.03,Organik,Organik,Benar
1,AneshMadyantara,lebih tepatnya steam harus ngikut rating igrs wkwkwkwk ini detail soal game nasih game yang kena rc,0,0,0.0178,Organik,Organik,Benar
1,aomi__san,el igrs,0,0,0.0077,Organik,Organik,Benar
1,susahberaq,igrs ini kok aku liat ada celah untuk dipungli bayar dulu bos nanti saya kasih rating ijo,0,0,0.0013,Organik,Organik,Benar
1,markucal,igrs apaan lagi ini saya tinggal motoran bentar ada aja kelakuan,0,0,0.0013,Organik,Organik,Benar
1,Deewwiiiii,kalau lagi ngikutin isu igrs rating game di steam mungkin bisa lihat dulu rilis resminya sebagai bahan pertimbangan,1,1,0.9079,Buzzer,Buzzer,Benar
1,leonthecatto,buzzer says igrs rating are messy because its the developer self declare that at fault the developer,0,0,0.0068,Organik,Organik,Benar
1,mencaridaratan,imo yaa tentang igrs platform steam ini semua game yang diributin itu rata rata berbayar dan tidak murah buat akses gamenya juga harus pake pc atau laptop yang pastinya tidak semurah dan semudah top up diamond syarat tersebut sebenernya uda bisa jadi filter,0,0,0.0051,Organik,Organik,Benar
1,KRathalos97,yang jadi masalah bukan igrs tapi yang ngurus dibelakang igrs nya itu saya yakin pasti orang dibelakang sana yang ngurus itu generasi boomer yang gede dengan mindset kontol main game buat apa,0,0,0.0159,Organik,Organik,Benar
1,ichaciing,kocak sumpah sebelum ada igrs steam sudah punya rating sendiri pertanyaanku cuma itu yang sok bikin igrs sudah pernah bikin game aplikasi yang dipublish entah di playstore appstore steam tidak kalau itu terlalu berat minimal itch io dulu deh pernah tidak,0,0,0.2644,Organik,Organik,Benar
1,carapaklek,perlu dipahami kalau rating igrs di steam belum final dan masih tahap laporan awal untuk merapikan ekosistem game agar lebih aman bagi anak anak,1,1,0.9855,Buzzer,Buzzer,Benar
1,Fatiyazean,untuk yang sedang ikut bahas tentang igrs dan rating game di steam yuk cek rilis resmi dari pihak terkait di sini dulu ya jadi informasi yang kita dapetin lebih jelas dan akurat,1,1,0.9962,Buzzer,Buzzer,Benar
1,cryofantasia,ohh it s normal if igrs is confusing or inaccurate it s still a transitional early phase we hope it works out for the better later all of them are saying the same thing with different wordings and this isnt an early phase igrs has been talked abt since,0,0,0.0033,Organik,Organik,Benar
1,PutriRahma32820,yang muncul di steam saat ini masih data awal igrs jadi belum sepenuhnya akurat lagi proses penyesuaian tujuannya biar sistem rating ke depan lebih jelas dan melindungi pemain,1,1,0.9923,Buzzer,Buzzer,Benar
1,arnoediad,igrs anjing komdigi bangsat,0,0,0.0483,Organik,Organik,Benar
1,stefanyreza2000,penjelasan resmi terkait igrs dan rating game di steam sudah tersedia sebaiknya cek dulu informasinya sebelum menarik kesimpulan lebih jauh igrs steam ratinggim siaranpers literasidigital,1,1,0.9928,Buzzer,Buzzer,Benar
1,bmawjy,kemungkinan besar susunan tim igrs tidak ada satu pun yang benar benar kompeten di bidang rating game hasilnya ya sesuai ekspektasi sistem prematur implementasi berantakan dan malah jadi bahan olok olok publik,0,1,0.8341,Organik,Buzzer,Salah
1,_hendrasusanto,agree to disagree aja poin saya adalah steam bukan partner resmi iarc karena ya emang tidak ada source soal itu form yang dibikin semirip mungkin mungkin cara supaya diakui usk dll ada beberapa poin kamu yang kayaknya tidak faktual tapi it s okay kita sama tidak setuju sama igrs,0,0,0.0043,Organik,Organik,Benar
1,RizkyArdia29527,ini penjelasan resmi terkait igrs dan sistem rating game di steam bisa dicek dulu sebagai referensi sebelum menilai lebih jauh,1,1,0.9893,Buzzer,Buzzer,Benar
1,rpramestaa12,sedikit klarifikasi rating igrs di steam itu banyak yang masih self declare jadi belum final wajar kalau masih ada yang belum pas ini lagi fase penyesuaian tujuannya buat perlindungan pemain muda dan penataan ekosistem kalau ada yang janggal kemungkinan masih perbaikan,1,1,0.9977,Buzzer,Buzzer,Benar
1,carapaklek,coba bantu luruskan ya sebenarnya rating igrs yang muncul di steam itu mayoritas masih bersifat self declare atau data awal saja jadi memang belum hasil final kita perlu maklum karena ini masih tahap transisi agar ekosistem game kita lebih tertata dan pemain di bawah umur aman,1,1,0.9976,Buzzer,Buzzer,Benar
1,Alvaro734877,harus diakui bahwa memang tampil rating igrs di steam bagi banyak orang sangat membingungkan tapi perlu diketahui bahwa sistem ya sedang dalam masa penyesuaian dan butuh waktu,1,1,0.9876,Buzzer,Buzzer,Benar
1,SuryanaAja13,rating igrs sedang dalam penyesuaian biar lebih baik lagi di mainkan game nya untuk anak muda,1,1,0.7615,Buzzer,Buzzer,Benar
1,hilyazu,wajar sih kalau banyak yang masih bingung lihat rating igrs di steam sekarang karena tampilannya memang belum terlalu familiar buat sebagian pemain tapi menurut saya ini masih tahap penyesuaian jadi memang butuh waktu supaya orang makin paham sistemnya,1,1,0.9977,Buzzer,Buzzer,Benar
1,tekarok007,yah karena game itu juga kan aslinya bisa jadi alat propaganda seperti film juga seperti game concord yang ditarik karena terlalu banyak agenda woke akhirnya ditolak user nah kasus igrs ini mengapa ditolak karena mereka ingin ratingnya ikut rating luar negri bukan ikutan,0,0,0.0063,Organik,Organik,Benar
1,aliffurqonasdya,we got igrs before gta release,0,0,0.0012,Organik,Organik,Benar
1,CorySakti28011,day advocating of removing rc igrs,0,0,0.0013,Organik,Organik,Benar
1,Nisarahman2327,igrs di steam emang lagi bingungin ya guys tapi kayaknya sistemnya masih dalam penyesuaian perlu waktu buat lebih stabil yang penting semoga valve bisa jelasin lebih rinci dan transparan tentang kriteria ratingnya biar kita semua ngerti keep improving steam,1,1,0.9366,Buzzer,Buzzer,Benar
1,haenetizen,kalau untuk sekarang segitu tapi kalau ngikutin regulasi igrs itu harus ada kebijakan baru,0,0,0.0009,Organik,Organik,Benar
1,gillsevensense,tolol banget emang igrs ini,0,0,0.0283,Organik,Organik,Benar
1,verstalie,saya mau tidur tenang tapi malah dapet kenyataan negara saya sebapuk itu dengan igrs nya,0,0,0.0015,Organik,Organik,Benar
1,noviarguna72100,kesalnya paham sih tapi karena gamer developer dan regulator sama sama terdampak dorongterus klarifikasi dan perbaikan bareng daripada makin panas igrs busa,0,0,0.0313,Organik,Organik,Benar
1,serafioz,buset dah igrs ada buzzer nya wkwkw hadeh,0,0,0.0013,Organik,Organik,Benar
1,SorajimaAnzu,yaaa kan soalnya igrs itu cuma pengalihan isu buat nutupin kasus tersangka penyerangan aktivis pake air keras yang postingannya diblokir sama dan keliatan efektif sekarang banyak yang ketarik ke isu igrs ini jadinya,0,0,0.0024,Organik,Organik,Benar
1,naufalfauzan,rating palsu apaan lebih percaya rating steam lah dari pada igrs lagian juga bisa bisanya mau blokir game dengan cara ngasih rating ngasal aneh,0,0,0.2506,Organik,Organik,Benar
1,triedhi888,ini yang ditunggu tunggu beritanya rilis resmi soal igrs rating game di steam,1,1,0.7188,Buzzer,Buzzer,Benar
1,bananaefootball,apa itu igrs igrs indonesian game rating system atau klasifikasi permainan interaktif elektronik kpie ini sistem rating umur resmi buat game digital di indonesia yang dikelola sama kementerian komunikasi dan digital komdigi,0,1,0.9139,Organik,Buzzer,Salah
1,b3rsetubuh,jujur aja ya narasi gamer itu maniak itu sudah ketinggalan banget sekarang yang lagi ribut itu bukan soal kecanduan game tapi soal sistem igrs yang kacau ratingnya banyak yang tidak masuk akal verifikasi tidak jelas bahkan pemerintah sendiri bilang belum final tapi yang kena,0,0,0.3706,Organik,Organik,Benar
1,calvadozze,nyalahin steamnya amerika mau dimarahin sama trump kah igrs,0,0,0.0008,Organik,Organik,Benar
1,AlinGibroez,lagi ramai soal igrs rating game di steam ini ada siaran pers resminya buat jadi referensi awal silakan cek dulu sebelum menarik kesimpulan link,1,1,0.9973,Buzzer,Buzzer,Benar
1,Orang_Tuwa,peak playing victim buzzer yang ngaco igrs yang salah ttp steam,0,0,0.0079,Organik,Organik,Benar
1,rahayu49384,rating igrs di steam masih dalam proses banyak yang self declare dan belum final niatnya baik lindungi pemain muda dan tata ekosistem game yuk sama sama paham,1,1,0.9974,Buzzer,Buzzer,Benar
1,AnimindoNet,kasian orang tuanya sudah percaya igrs tapi ternyata,0,0,0.0018,Organik,Organik,Benar
1,bayoeoe,seperti masalah igrs sama steam jadinya wakakakak,0,0,0.0105,Organik,Organik,Benar
1,Deewwiiiii,jujur aja tampilan rating igrs di steam sekarang masih bikin bingung banyak orang tapi kalau ini memang lagi tahap penyesuaian ya wajar butuh waktu,1,1,0.9968,Buzzer,Buzzer,Benar
1,fadhilnhaa,kok banyak binatang buzzer igrs wkwkw,0,0,0.012,Organik,Organik,Benar
1,Ginanadia67421,perlu diingat juga banyak rating igrs di steam saat ini masih berupa data awal atau self declare dari developer jadi belum semuanya final karena sistemnya masih dalam tahap penyesuaian untuk perlindungan pemain muda,1,1,0.9976,Buzzer,Buzzer,Benar
1,AtsuMaru_o7,goated papa gaben fuck igrs fuck komdigi,0,0,0.0013,Organik,Organik,Benar
1,NganjukSun23590,perlu diluruskan rating igrs di steam sekarang masih tahap awal self declare jadi belum final tujuannya buat melindungi pemain muda dan menata ekosistem game wajar kalau di awal masih ada yang perlu disesuaikan,1,1,0.9972,Buzzer,Buzzer,Benar
1,p0litrick,buzzer igrs gila mereka lg punya potensi cuan dari mana ya sampe brani bayar buzzer segininya mau malak developer,0,0,0.0225,Organik,Organik,Benar
1,CakraKjaerbye,tenggorokkan lagi sakit dan ngeliat komdongo ngelempar tanggung jawab igrs ke steam,0,0,0.001,Organik,Organik,Benar
1,Albert2844,bran bran benerin noh igrs,0,0,0.0066,Organik,Organik,Benar
1,SaintSpectra,kirain madrid doang yang lucu ternyata komdigi lebih lucu saran aja ini kalau kerjaannya perlu identifikasi tingkat lanjut jangan pake ai kalau mau cara gampang dan tidak keluar duit ikutin aja rating yang sudah ada di steam tinggal kalian timpa pake logo igrs,0,0,0.0151,Organik,Organik,Benar
1,Xhareza,w gaben l igrs,0,0,0.0309,Organik,Organik,Benar
1,dvrtlngi,lagi ramai bahas igrs rating game di steam ini ada rilis resmi yang jelasin konteksnya mungkin bisa dibaca dulu biar dapat gambaran utuh sebelum lanjut diskusi,1,1,0.998,Buzzer,Buzzer,Benar
1,allatonve,apcb igrs najisnyaaa,0,0,0.0143,Organik,Organik,Benar
1,Iezhar7th,igrs i guess rating bro is persona illegal now indonesia,0,0,0.001,Organik,Organik,Benar
1,noviarguna72100,inidia rilis resmi igrs rating game di steam bisa jadi referensi info yang beredar lebih lengkap,1,1,0.9074,Buzzer,Buzzer,Benar
1,riverbenderr,so bagaimana proses pemberian rating dari igrs coba dibuka secara transparan apa indikator dari rating ini,0,0,0.0031,Organik,Organik,Benar
